"Number","Column","Data type","Description"
"0","Hydro Pumpspeicher","float64",""
"1","Hydro Laufwasser","float64",""
"2","Hydro Speicher","float64",""
"3","Nuclear","float64",""
"4","Solar","float64",""
"5","Wind","float64",""
"6","Biomass","float64",""
"7","Other","float64",""
"8","Load","float64",""
"9","Import","float64",""
