Attribute,Description,Standard value,Unit,Data type,Source
``deployment``,,True,--,bool,
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",,--,bool,
