Attribute,Description,Standard value,Unit,Data type,Source
deployment,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",False,--,bool,
capex,CAPEX cost of technology per unit of capacity.,0,CHF/kW,float,
maintenance_cost,OPEX cost of technology per unit of capacity.,0,CHF/kW/year,float,
lifetime,Expected lifetime of technology before replacement is required.,25,years,int,
timeseries_file_path,Path to file with waste heat timeseries (in kWh/h),'',--,str,
co2_intensity,Carbon-dioxide intensity of technology output (annual average value).,0,kg CO2/kWh,float,
tariff_CHFpkWh,Cost of waste heat,0.01,CHF/kWh,float,
interest_rate,Interest rate for computing levelised costs (if required).,0.025,--,float,
