Attribute,Description,Standard value,Unit,Data type,Source
custom_district,Properties for a district with custom boundaries.,,--,dict,
custom_district: implemented,"If set to 'true', the simulation will be carried out for a district of selected buildings.",,--,bool,
custom_district: EGID_List,List of EGIDs of buildings contained in custom district.,,--,list / df,
custom_district: custom_district_name,unique name for specified custom district,,--,str,
