Attribute,Description,Standard value,Unit,Data type,Source
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",False,--,bool,
``kW_th_max``,Maximum thermal power output,inf,kW,str,
``eta``,Efficiency,0.98,--,float,
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0 *(emissons allocated to electricity tech)*,kg CO2/kWh,float,
``lifetime``,Expected lifetime of technology before replacement is required.,30,years,int,
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float,
``capex``,CAPEX cost of technology per unit of capacity.,100,CHF/kW,float,
``maintenance_cost``,OPEX cost of technology per unit of capacity.,0.5,CHF/kW/year,float,
