Attribute,Description,Standard value,Unit,Data type
``number_of_days``,"Number of days to simulate, starting on 1 Jan. A value between 1 and 365 is recommended.",*required user input*,--,int
``district_number``,"Unique identification number assigned to the district. It is the identifier labelled ""GGDENR"" in the Master File and Meta File. For Swiss municipalities, this is the BFS commune number. A list of all municipalities and the respective commune numbers can be found :ref:`here <swiss_municipalities>`.",*required user input*,--,int
``generate_plots``,The generation of plots can be switched on (true) or off (false).,*required user input*,--,bool
``save_results``,"If set to true, results will be saved in files.",*required user input*,--,bool
