"Number","Column","Data type","Description","Source for Swiss dataset"
"0","``20%``","float","Row 0: wind turbine capacity. Rows 1-8760: Hourly capacity factors for total wind power capacity between 0% and 20% of total potential capacity.","Dujardin and Lehning, 2022a, 2022b"
"1","``40%``","float","Row 0: wind turbine capacity. Rows 1-8760: Hourly capacity factors for total wind power capacity between 20% and 40% of total potential capacity.","Dujardin and Lehning, 2022a, 2022b"
"2","``60%``","float","Row 0: wind turbine capacity. Rows 1-8760: Hourly capacity factors for total wind power capacity between 40% and 60% of total potential capacity.","Dujardin and Lehning, 2022a, 2022b"
"3","``80%``","float","Row 0: wind turbine capacity. Rows 1-8760: Hourly capacity factors for total wind power capacity between 60% and 80% of total potential capacity.","Dujardin and Lehning, 2022a, 2022b"
"4","``100%``","float","Row 0: wind turbine capacity. Rows 1-8760: Hourly capacity factors for total wind power capacity between 80% and 100% of total potential capacity.","Dujardin and Lehning, 2022a, 2022b"
