"Number","Column","Data type","Description","Source for |Swiss_data_Zenodo_link|"
"0","``Municipality``","string","Name of district according to ``GGDENAME`` in :ref:`master_file` and ``Municipality`` in :ref:`meta_file`.","Swisstopo, 2024"
"1","``p_kW``","float","Currently installed wind power capacity in kW in the district. This data is used for computation of the base scenario (i.e., current status).","Swiss Federal Office of Energy SFOE, 2022a"
