"Number","Column","Data type","Description","Source for Swiss dataset"
"0","2016","float64","",""
"1","2023","float64","",""
"2","2024","float64","",""
"3","2025","float64","",""
"4","2030","float64","",""
"5","2040","float64","",""
"6","2050","float64","",""
